producto_id,sku,nombre,categoria_id,proveedor_id,unidad_medida,precio_costo,precio_venta,lead_time_dias,activo
1001,LEC-1001,Leche Entera 1L,2,1,UN,458.37,624.53,4,True
1002,LEC-1002,Leche Descremada 1L,2,1,UN,444.69,631.36,2,True
1003,YOG-1003,Yogur Bebible Frutilla 900ml,2,1,UN,737.97,1325.46,2,True
1004,YOG-1004,Yogur Griego Natural 150g,2,1,UN,421.33,575.49,2,True
1005,MAN-1005,Manteca 200g,2,1,UN,932.8,1494.98,2,False
1006,CRE-1006,Crema de Leche 200ml,2,1,UN,767.35,1310.64,5,True
1007,DUL-1007,Dulce de Leche 400g,2,1,UN,983.07,1616.79,2,True
1008,QUE-1008,Queso Cremoso 300g,2,1,UN,2027.64,2899.18,5,True
1009,JAM-1009,Jamón Cocido 200g,3,10,UN,1485.06,2120.28,5,True
1010,QUE-1010,Queso Fresco 300g,3,10,UN,1630.66,2511.16,5,True
1011,SAL-1011,Salame Milán 250g,3,10,UN,2154.25,3558.53,3,True
1012,MOR-1012,Mortadela 200g,3,10,UN,1245.95,2016.09,6,True
1013,QUE-1013,Queso Rallado 100g,3,10,UN,911.82,1364.62,5,True
1014,AGU-1014,Agua Mineral 1.5L,5,2,UN,390.41,664.59,4,True
1015,GAS-1015,Gaseosa Cola 1.5L,5,2,UN,1032.25,1792.54,4,True
1016,GAS-1016,Gaseosa Lima Limón 1.5L,5,2,UN,1053.96,1879.47,7,False
1017,JUG-1017,Jugo Exprimido Naranja 1L,5,2,UN,791.7,1320.43,6,True
1018,AGU-1018,Agua Saborizada 1.5L,5,2,UN,619.52,946.4,6,True
1019,SOD-1019,Soda 1.5L,5,2,UN,456.15,771.7,4,True
1020,CER-1020,Cerveza Lager 1L,6,2,UN,1352.28,1941.29,5,True
1021,VIN-1021,Vino Tinto Malbec 750ml,6,2,UN,2614.38,4025.43,5,True
1022,SID-1022,Sidra 720ml,6,2,UN,2073.85,3673.67,4,True
1023,FER-1023,Fernet 750ml,6,2,UN,5729.05,7826.17,6,True
1024,VIN-1024,Vino Blanco 750ml,6,2,UN,2640.7,3652.34,6,True
1025,PAN-1025,Pan Lactal 500g,8,3,UN,1142.53,1827.61,6,True
1026,PAN-1026,Pan Dulce 500g,8,3,UN,2257.15,3204.74,5,True
1027,FAC-1027,Facturas x6,8,3,UN,1824.1,2853.29,6,True
1028,PAN-1028,Pan de Salvado 500g,8,3,UN,1222.4,2259.81,4,True
1029,TOS-1029,Tostadas 300g,8,3,UN,1051.91,1467.89,3,True
1030,PAP-1030,Papas Fritas 150g,9,4,UN,1515.28,2161.43,2,True
1031,CHO-1031,Chocolate Barra 100g,9,4,UN,1108.42,1730.33,1,True
1032,ALF-1032,Alfajor Triple,9,4,UN,757.72,1248.68,4,True
1033,GAL-1033,Galletitas Dulces 300g,9,4,UN,1105.82,2029.78,1,True
1034,GAL-1034,Galletitas Saladas 200g,9,4,UN,952.04,1339.78,3,True
1035,TUR-1035,Turrón 40g,9,4,UN,476.86,724.87,3,True
1036,DET-1036,Detergente 750ml,10,5,UN,1508.69,2379.0,8,True
1037,LAV-1037,Lavandina 1L,10,5,UN,845.78,1464.03,6,True
1038,JAB-1038,Jabón en Polvo 800g,10,5,UN,2548.21,3820.33,7,True
1039,LIM-1039,Limpiador Multiuso 900ml,10,5,UN,1338.21,2316.78,6,True
1040,PAP-1040,Papel Higiénico x4,10,5,UN,1979.68,3156.21,6,True
1041,ESP-1041,Esponja x3,10,5,UN,739.36,1322.98,8,True
1042,SHA-1042,Shampoo 400ml,11,6,UN,2319.73,3411.01,5,True
1043,JAB-1043,Jabón de Tocador x3,11,6,UN,1525.7,2430.43,5,True
1044,DES-1044,Desodorante Aerosol 150ml,11,6,UN,2888.99,4669.63,6,True
1045,PAS-1045,Pasta Dental 90g,11,6,UN,1338.52,2125.09,6,True
1046,CRE-1046,Crema Corporal 400ml,11,6,UN,2959.03,5285.47,8,True
1047,HEL-1047,Helado 1L,12,7,UN,3778.62,6856.14,5,True
1048,HAM-1048,Hamburguesas x4,12,7,UN,2685.18,4160.68,6,True
1049,PAP-1049,Papas Congeladas 1kg,12,7,UN,2075.24,3338.62,4,True
1050,VEG-1050,Vegetales Congelados 500g,12,7,UN,1474.37,2037.6,4,True
1051,EMP-1051,Empanadas Congeladas x12,12,7,UN,3352.99,4912.32,5,True
1052,PAP-1052,Papa,13,8,KG,350.72,597.6,1,True
1053,CEB-1053,Cebolla,13,8,KG,422.89,762.35,2,True
1054,TOM-1054,Tomate,13,8,KG,717.71,1054.32,3,True
1055,BAN-1055,Banana,13,8,KG,642.85,910.38,3,True
1056,MAN-1056,Manzana,13,8,KG,698.6,1108.32,3,False
1057,ZAN-1057,Zanahoria,13,8,KG,399.04,558.04,3,True
1058,CAR-1058,Carne Picada,14,9,KG,4012.58,6241.77,1,True
1059,POL-1059,Pollo Entero,14,9,KG,2936.68,5409.61,1,True
1060,ASA-1060,Asado,14,9,KG,4242.43,7271.98,1,False
1061,MIL-1061,Milanesa de Nalga,14,9,KG,5398.93,7802.02,4,True
1062,BIF-1062,Bife de Chorizo,14,9,KG,5612.15,8091.28,4,True
